uf,nome_uf,regiao_intermediaria,nome_regiao_intermediaria,regiao_imediata,nome_regiao_imediata,codigo_municipio,nome_municipio,uf_sigla
43,Rio Grande do Sul,4306,Passo Fundo,430026,Erechim,2055,BENJAMIN CONSTANT DO SUL,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430037,Bento Gonçalves,2105,BENTO GONÇALVES,RS
43,Rio Grande do Sul,4306,Passo Fundo,430029,Frederico Westphalen,2154,BOA VISTA DAS MISSÕES,RS
43,Rio Grande do Sul,4305,Ijuí,430023,Três de Maio,2204,BOA VISTA DO BURICÁ,RS
43,Rio Grande do Sul,4306,Passo Fundo,430027,Cruz Alta,2220,BOA VISTA DO CADEADO,RS
43,Rio Grande do Sul,4306,Passo Fundo,430027,Cruz Alta,2238,BOA VISTA DO INCRA,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430037,Bento Gonçalves,2253,BOA VISTA DO SUL,RS
43,Rio Grande do Sul,4307,Caxias do Sul,430039,Vacaria,2303,BOM JESUS,RS
43,Rio Grande do Sul,4301,Porto Alegre,430002,Novo Hamburgo - São Leopoldo,2352,BOM PRINCÍPIO,RS
43,Rio Grande do Sul,4305,Ijuí,430021,Três Passos,2378,BOM PROGRESSO,RS
43,Rio Grande do Sul,4308,Santa Cruz do Sul - Lajeado,430041,Lajeado,2402,BOM RETIRO DO SUL,RS
43,Rio Grande do Sul,4308,Santa Cruz do Sul - Lajeado,430041,Lajeado,2451,BOQUEIRÃO DO LEÃO,RS
